Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
G. Frames,M,BD,Raw,,,,Masters A,100,100,,,,,,,,,,160,,,,,230,390,2,240.05,237.35,226.70,,,USA,OH,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
E. Ercan,M,BD,Raw,,,,Masters A,100,100,,,,,,,,,,117.5,,,,,252.5,370,3,227.74,225.18,215.07,,,USA,NJ,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
K. Simonds,M,BD,Raw,,,,Masters A,110,110,,,,,,,,,,172.5,,,,,227.5,400,1,236.91,235.40,224.98,,,USA,OK,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
G. Bellinger,M,BD,Raw,,,,Masters A,110,110,,,,,,,,,,152.5,,,,,235,387.5,2,229.50,228.04,217.95,,,UK,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
W. Forchion,M,BD,Raw,,,,Masters A,110,110,,,,,,,,,,150,,,,,180,330,3,195.45,194.20,185.61,,,USA,MD,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
W. Watts,M,BD,Raw,,,,Masters A,,125+,,,,,,,,,,207.5,,,,,150,357.5,1,,,,,,USA,GA,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
M. Lopez G,M,BD,Raw,,,,Masters B,67.5,67.5,,,,,,,,,,80,,,,,110,190,1,146.44,146.49,142.20,,,Spain,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
J. Rey,M,BD,Raw,,,,Masters B,75,75,,,,,,,,,,130,,,,,220,350,1,251.10,249.40,240.98,,,Spain,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
J. Cremades C,M,BD,Raw,,,,Masters B,82.5,82.5,,,,,,,,,,90,,,,,200,290,1,196.44,194.27,186.93,,,Spain,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
K. Kjensli,M,BD,Raw,,,,Masters B,90,90,,,,,,,,,,140,,,,,220,360,1,232.78,229.82,220.26,,,Norway,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
A. Moredo M,M,BD,Raw,,,,Masters B,100,100,,,,,,,,,,170,,,,,210,380,1,233.90,231.26,220.88,,,Spain,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
R. Sedeno M,M,BD,Raw,,,,Masters B,100,100,,,,,,,,,,142.5,,,,,195,337.5,2,207.74,205.40,196.18,,,Spain,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
F. Grotzinger,M,BD,Raw,,,,Masters B,100,100,,,,,,,,,,135,,,,,200,335,3,206.20,203.88,194.73,,,Germany,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
W. Mosher,M,BD,Raw,,,40-49,Masters B,110,110,,,,,,,,,,130,,,,,230,360,1,213.22,211.86,202.48,,,USA,MI,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
K. Suutari,M,BD,Raw,,,,Masters B,125,125,,,,,,,,,,190,,,,,265,455,1,257.87,259.28,248.12,,,Canada,ON,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
G. Carter,M,BD,Raw,0.5,,,Masters B,125,125,,,,,,,,,,145,,,,,185,330,2,187.03,188.05,179.96,,,USA,MN,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
G. Karlsson,M,BD,Raw,,,,Masters B,,125+,,,,,,,,,,110,,,,,170,280,1,,,,,,Sweden,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
M. Tanaka,M,BD,Raw,,,,Grandmasters A,67.5,67.5,,,,,,,,,,105,,,,,140,245,1,188.83,188.90,183.36,,,Japan,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
R. Lintner,M,BD,Raw,,,,Grandmasters A,75,75,,,,,,,,,,137.5,,,,,112.5,250,1,179.36,178.14,172.13,,,USA,IN,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
E. Harris,M,BD,Raw,,,,Grandmasters A,75,75,,,,,,,,,,77.5,,,,,107.5,185,2,132.72,131.82,127.37,,,USA,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
H. Greenidge,M,BD,Raw,,,,Grandmasters A,82.5,82.5,,,,,,,,,,170,,,,,220,390,1,264.18,261.26,251.39,,,Canada,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
P. Marquis,M,BD,Raw,,,,Grandmasters A,82.5,82.5,,,,,,,,,,127.5,,,,,147.5,275,2,186.28,184.22,177.26,,,Canada,ON,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
J. Presta,M,BD,Raw,,,,Grandmasters A,90,90,,,,,,,,,,125,,,,,185,310,1,200.45,197.90,189.67,,,USA,NY,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
M. Musto,M,BD,Raw,,,,Grandmasters A,100,100,,,,,,,,,,175,,,,,287.5,462.5,1,284.68,281.47,268.84,,,USA,CA,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
C. May,M,BD,Raw,,,,Grandmasters A,100,100,,,,,,,,,,155,,,,,182.5,337.5,2,207.74,205.40,196.18,,,USA,IN,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
A. Rey,M,BD,Raw,,,,Grandmasters A,110,110,,,,,,,,,,110,,,,,210,320,1,189.53,188.32,179.98,,,Spain,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
G. Black,M,BD,Raw,,,,Grandmasters A,125,125,,,,,,,,,,182.5,,,,,237.5,420,1,238.04,239.33,229.04,,,USA,MD,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
J. Wetenhall,M,BD,Raw,,,,Grandmasters A,,125+,,,,,,,,,,162.5,,,,,200,362.5,1,,,,,,USA,OH,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
R. Steventon,M,BD,Raw,,,,Grandmasters A,,125+,,,,,,,,,,70,,,,,170,240,2,,,,,,UK,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
K. Yoshida,M,BD,Raw,,,,Grandmasters B,75,75,,,,,,,,,,100,,,,,140,240,1,172.18,171.01,165.24,,,Japan,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
G. Mullendore,M,BD,Raw,,,,Grandmasters B,75,75,,,,,,,,,,95,,,,,120,215,2,154.25,153.20,148.03,,,USA,CA,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
B. Desjarlais,M,BD,Raw,,,,Grandmasters B,82.5,82.5,,,,,,,,,,147.5,,,,,185,332.5,1,225.23,222.74,214.32,,,Canada,SK,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
R. Christiansen,M,BD,Raw,,,,Grandmasters B,82.5,82.5,,,,,,,,,,135,,,,,180,315,2,213.38,211.02,203.04,,,Norway,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
John Killin,M,BD,Raw,,,,Grandmasters B,82.5,82.5,,,,,,,,,,97.5,,,,,205,302.5,3,204.91,202.65,194.99,,,USA,CA,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
R. Alexander,M,BD,Raw,,24-34,,Grandmasters B,90,90,,,,,,,,,,160,,,,,190,350,1,226.31,223.44,214.14,,,USA,WA,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
J. Danburg,M,BD,Raw,,,,Grandmasters B,90,90,,,,,,,,,,110,,,,,190,300,2,193.98,191.52,183.55,,,USA,CO,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
S. Ribble,M,BD,Raw,,,,Grandmasters B,100,100,,,,,,,,,,132.5,,,,,175,307.5,1,189.27,187.14,178.74,,,USA,TX,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
W. Andrews,M,BD,Raw,,,,Grandmasters B,125,125,,,,,,,,,,65,,,,,127.5,192.5,1,109.10,109.70,104.98,,,USA,NH,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
J. Petersen,M,BD,Raw,,,,Grandmasters C,90,90,,,,,,,,,,95,,,,,120,215,1,139.02,137.25,131.55,,,Germany,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
T. Flannery,M,BD,Raw,,,,Grandmasters C,100,100,,,,,,,,,,115,,,,,205,320,1,196.97,194.75,186.01,,,Ireland,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
R. Morgan,M,BD,Raw,,,,Grandmasters C,100,100,,,,,,,,,,102.5,,,,,117.5,220,2,135.41,133.89,127.88,,,USA,IN,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
R. Berendsen,M,BD,Raw,,60-64,60-69,Grandmasters C,110,110,,,,,,,,,,110,,,,,185,295,1,174.72,173.61,165.92,,,USA,CA,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
T. Murguia,M,BD,Raw,,,,Grandmasters D,75,75,,,,,,,,,,92.5,,,,,140,232.5,1,166.80,165.67,160.08,,,USA,FL,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
B. Ballas,M,BD,Raw,,,,Grandmasters D,82.5,82.5,,,,,,,,,,70,,,,,140,210,1,142.25,140.68,135.36,,,USA,FL,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
C. Johnson,M,BD,Raw,,,,Grandmasters D,82.5,82.5,,,,,,,,,,92.5,,,,,102.5,195,2,132.09,130.63,125.69,,,USA,CA,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
G. LaBelle,M,BD,Raw,,,,Grandmasters D,90,90,,,,,,,,,,95,,,,,165,260,1,168.12,165.98,159.08,,,USA,MN,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
S. Colella,M,BD,Raw,72.5,70-74,70-999,Grandmasters D,90,90,,,,,,,,,,97.5,,,,,125,222.5,2,143.87,142.04,136.13,,,USA,CA,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
R. Boucher,M,BD,Raw,,,70-999,Grandmasters D,110,110,,,,,,,,,,107.5,,,,,120,227.5,1,134.74,133.88,127.96,,,Belgium,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
M. Opfer,F,BD,Raw,,,,Open,60,60,,,,,,,,,,42.5,,,,,100,142.5,1,157.97,158.87,140.37,,,Germany,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
J. Draper,F,BD,Raw,,,,Open,82.5,82.5,,,,,,,,,,115,,,,,160,275,1,255.24,247.49,216.64,,,USA,CO,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
L. Matonina,F,BD,Raw,,,,Open,,90+,,,,,,,,,,80,,,,,192.5,272.5,1,,,,,,Estonia,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
R. Summers,F,BD,Raw,,,,Senior,60,60,,,,,,,,,,37.5,,,,,60,97.5,1,108.08,108.70,96.04,,,UK,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
M. Young,F,BD,Raw,,,,Senior,67.5,67.5,,,,,,,,,,85,,,,,127.5,212.5,1,219.38,216.88,191.32,,,USA,KY,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
S. Torrey,F,BD,Raw,,,,Senior,67.5,67.5,,,,,,,,,,60,,,,,97.5,157.5,2,162.60,160.75,141.80,,,USA,KY,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
K. Heymann,F,BD,Raw,,,,Senior,67.5,67.5,,,,,,,,,,50,,,,,105,155,3,160.02,158.20,139.55,,,Germany,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
E. Robinson,F,BD,Raw,,,,Senior,82.5,82.5,,,,,,,,,,82.5,,,,,150,232.5,1,215.79,209.24,183.16,,,USA,IL,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
C. Hill,F,BD,Raw,,,,Senior,90,90,,,,,,,,,,77.5,,,,,110,187.5,1,167.16,162.01,140.82,,,USA,OH,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
B. Stafford,F,BD,Raw,,,,Senior,90,90,,,,,,,,,,57.5,,,,,110,167.5,2,149.33,144.73,125.80,,,Canada,QC,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
K. Innerhofer,F,BD,Raw,,,,Masters,60,60,,,,,,,,,,77.5,,,,,80,157.5,1,174.60,175.59,155.15,,,Austria,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
S. Cunat,F,BD,Raw,,,,Masters,67.5,67.5,,,,,,,,,,70,,,,,100,170,1,175.51,173.51,153.06,,,Austria,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
C. Baycock,F,BD,Raw,,,,Masters,67.5,67.5,,,,,,,,,,40,,,,,60,100,2,103.24,102.06,90.03,,,UK,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
T. Reed,F,BD,Raw,,,,Masters,75,75,,,,,,,,,,75,,,,,142.5,217.5,1,211.84,206.76,181.88,,,USA,CA,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
C. Everett,F,BD,Raw,,,,Masters,82.5,82.5,,,,,,,,,,55,,,,,92.5,147.5,1,136.90,132.75,116.20,,,USA,MD,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
K. Pincott,F,BD,Raw,,,,Masters,,90+,,,,,,,,,,50,,,,,110,160,1,,,,,,UK,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
D. Forrest,F,BD,Raw,,,,Grandmasters,,90+,,,,,,,,,,65,,,,,122.5,187.5,1,,,,,,USA,IN,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
K. Okawa,M,B,Raw,,,,Open,60,60,,,,,,,,,,100,,,,,,100,1,84.40,85.29,83.28,59.78,,Japan,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
A. Killin,M,B,Raw,,,,Open,67.5,67.5,,,,,,,,,,127.5,,,,,,127.5,1,98.27,98.30,95.42,71.44,,USA,NC,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
J. Berna L #2,M,B,Raw,,,,Open,67.5,67.5,,,,,,,,,,125,,,,,,125,2,96.34,96.38,93.55,70.04,,Spain,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
J. Quesada L,M,B,Raw,,,,Open,67.5,67.5,,,,,,,,,,95,,,,,,95,3,73.22,73.25,71.10,53.23,,Spain,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
S. Tetreault,M,B,Raw,,,,Open,75,75,,,,,,,,,,120,,,,,,120,1,86.09,85.51,82.62,63.54,,Canada,QC,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
N. Calvo G,M,B,Raw,,,,Open,75,75,,,,,,,,,,110,,,,,,110,2,78.92,78.38,75.74,58.25,,Spain,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
J. Laroque,M,B,Raw,,,,Open,82.5,82.5,,,,,,,,,,160,,,,,,160,1,108.38,107.19,103.13,80.62,,Canada,ON,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
S. Alain,M,B,Raw,,,,Open,82.5,82.5,,,,,,,,,,152.5,,,,,,152.5,2,103.30,102.16,98.30,76.84,,Canada,QC,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
S. Giroux,M,B,Raw,,,,Open,82.5,82.5,,,,,,,,,,142.5,,,,,,142.5,3,96.53,95.46,91.85,71.80,,Canada,QC,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
T. Selvia,M,B,Raw,,,,Open,90,90,,,,,,,,,,175,,,,,,175,1,113.16,111.72,107.07,84.38,,USA,IN,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
L. Gonzalez L,M,B,Raw,,,,Open,90,90,,,,,,,,,,170,,,,,,170,2,109.92,108.53,104.01,81.97,,Spain,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
W. Herkelman,M,B,Raw,,,,Open,90,90,,,,,,,,,,162.5,,,,,,162.5,3,105.07,103.74,99.42,78.35,,USA,IA,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
K. Barrett,M,B,Raw,,16-17,14-18,Open,100,100,,,,,,,,,,190,,,,,,190,1,116.95,115.63,110.44,87.04,,USA,MD,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
L. Camponi,M,B,Raw,,,,Open,100,100,,,,,,,,,,170,,,,,,170,2,104.64,103.46,98.82,77.88,,Brazil,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
A. Ovechkin,M,B,Raw,,,,Open,110,110,,,,,,,,,,220,,,,,,220,1,130.30,129.47,123.74,96.44,,Russia,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
J. Martinie,M,B,Raw,,,,Open,110,110,,,,,,,,,,192.5,,,,,,192.5,2,114.01,113.28,108.27,84.38,,USA,AZ,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
J. Pinc,M,B,Raw,,,,Open,110,110,,,,,,,,,,177.5,,,,,,177.5,3,105.13,104.46,99.84,77.81,,Czechia,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
P. Aan,M,B,Raw,,,,Open,125,125,,,,,,,,,,185,,,,,,185,1,104.85,105.42,100.89,76.71,,Estonia,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
A. Stanik,M,B,Raw,,,,Open,125,125,,,,,,,,,,175,,,,,,175,2,99.18,99.72,95.43,72.57,,Germany,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
M. Grant,M,B,Raw,,,,Open,,125+,,,,,,,,,,250,,,,,,250,1,,,,,,USA,KY,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
S. Mujagic,M,B,Raw,,,,Senior A,56,56,,,,,,,,,,62.5,,,,,,62.5,1,55.94,56.90,55.78,38.83,,Croatia,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
H. Molina G,M,B,Raw,,,,Senior A,67.5,67.5,,,,,,,,,,125,,,,,,125,1,96.34,96.38,93.55,70.04,,Spain,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
J. Lo,M,B,Raw,,,,Senior A,67.5,67.5,,,,,,,,,,97.5,,,,,,97.5,2,75.15,75.17,72.97,54.63,,Canada,BC,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
F. Hernandez F,M,B,Raw,,,,Senior A,67.5,67.5,,,,,,,,,,70,,,,,,70,3,53.95,53.97,52.39,39.22,,Spain,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
D. Pasenow,M,B,Raw,,,,Senior A,75,75,,,,,,,,,,155,,,,,,155,1,111.20,110.45,106.72,82.08,,Germany,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
R. Mikolajewski,M,B,Raw,,,,Senior A,75,75,,,,,,,,,,152.5,,,,,,152.5,2,109.41,108.67,105.00,80.75,,Poland,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
H. Carlsson,M,B,Raw,,,,Senior A,75,75,,,,,,,,,,145,,,,,,145,3,104.03,103.32,99.83,76.78,,Sweden,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
D. Jasovsky,M,B,Raw,,,,Senior A,82.5,82.5,,,,,,,,,,152.5,,,,,,152.5,1,103.30,102.16,98.30,76.84,,Czechia,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
F. Sirois,M,B,Raw,,,,Senior A,82.5,82.5,,,,,,,,,,130,,,,,,130,2,88.06,87.09,83.80,65.50,,Canada,QC,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
G. Lepage,M,B,Raw,,,,Senior A,90,90,,,,,,,,,,162.5,,,,,,162.5,1,105.07,103.74,99.42,78.35,,Canada,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
K. Hemsing,M,B,Raw,,,,Senior A,90,90,,,,,,,,,,160,,,,,,160,2,103.46,102.14,97.89,77.15,,Canada,SK,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
M. Pratt,M,B,Raw,,,,Senior A,90,90,,,,,,,,,,147.5,,,,,,147.5,3,95.37,94.16,90.25,71.12,,USA,MO,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
D. Neville,M,B,Raw,,,,Senior A,100,100,,,,,,,,,,190,,,,,,190,1,116.95,115.63,110.44,87.04,,Canada,ON,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
J. Johnson,M,B,Raw,,,,Senior A,100,100,,,,,,,,,,182.5,,,,,,182.5,2,112.33,111.07,106.08,83.61,,USA,OK,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
R. Becsei,M,B,Raw,,,,Senior A,100,100,,,,,,,,,,150,,,,,,150,3,92.33,91.29,87.19,68.72,,USA,AZ,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
S. MacNeil,M,B,Raw,,,,Senior A,110,110,,,,,,,,,,187.5,,,,,,187.5,1,111.05,110.34,105.46,82.19,,Canada,,WPFG,,2005-06-26,Canada,QC,Quebec City,World Police and Fire Games,Yes
